time,OMEGA_REF_omegaRef_grp_0_value
5.5425,1.009718
5.5475,1.009845
5.5475,1.009845
5.5525,1.009973
5.5525,1.009973
5.5575,1.010101
5.5575,1.010101
5.5625,1.01023
5.5625,1.01023
5.5675,1.010359
5.5675,1.010359
5.5725,1.010488
5.5725,1.010488
5.5775,1.010618
5.5775,1.010618
5.5825,1.010747
5.5875,1.010877
5.5925,1.011007
5.5975,1.011137
5.5975,1.011137
5.6025,1.011267
5.6075,1.011397
5.6075,1.011397
5.6125,1.011527
5.6125,1.011527
5.6175,1.011657
5.6225,1.011787
5.6225,1.011787
5.6275,1.011916
5.6325,1.012046
5.6375,1.012175
5.6425,1.012304
5.6475,1.012433
5.6525,1.012562
5.6575,1.01269
5.6625,1.012818
5.6675,1.012946
5.6675,1.012946
5.6725,1.013073
5.6725,1.013073
5.6775,1.013199
5.6775,1.013199
5.6825,1.013325
5.6875,1.013451
5.6925,1.013576
5.6975,1.0137
5.7025,1.013824
5.7075,1.013947
5.7125,1.014069
5.7175,1.01419
5.7225,1.014311
5.7275,1.014431
5.7325,1.01455
5.7375,1.014667
5.7425,1.014784
5.7475,1.0149
5.7525,1.015015
5.7575,1.015129
5.7625,1.015241
5.7675,1.015352
5.7725,1.015462
5.7775,1.015571
5.7825,1.015678
5.7875,1.015784
5.7925,1.015888
5.7975,1.015991
5.8025,1.016092
5.8075,1.016192
5.8125,1.01629
5.8175,1.016386
5.8175,1.016386
5.8225,1.01648
5.8275,1.016573
5.8325,1.016663
5.8325,1.012314
5.8375,1.012366
5.8375,1.012366
5.8425,1.012419
5.8425,1.012419
5.8475,1.01247
5.8475,1.01247
5.8525,1.01252
5.8525,1.01252
5.8575,1.01257
5.8575,1.01257
5.8625,1.012619
5.8625,1.012619
5.8675,1.012668
5.8675,1.012668
5.8725,1.012717
5.8725,1.012717
5.8775,1.012765
5.8775,1.012765
5.8825,1.012813
5.8825,1.012813
5.8875,1.012861
5.8875,1.012861
5.8925,1.012908
5.8925,1.012908
5.8975,1.012955
5.8975,1.012955
5.9025,1.013002
5.9025,1.013002
5.9075,1.013048
5.9075,1.013048
5.9125,1.013093
5.9125,1.013093
5.9175,1.013139
5.9225,1.013183
5.9275,1.013228
5.9275,1.013228
5.9325,1.013272
5.9325,1.013272
5.9375,1.013315
5.9375,1.013315
5.9425,1.013358
5.9425,1.013358
5.9475,1.013401
5.9475,1.013401
5.9525,1.013444
5.9525,1.013444
5.9575,1.013486
5.9575,1.013486
5.9625,1.013528
5.9625,1.013528
5.9675,1.01357
5.9675,1.01357
5.9725,1.013612
5.9725,1.013612
5.9775,1.013654
5.9775,1.013654
5.9825,1.013696
5.9825,1.013696
5.9875,1.013738
5.9875,1.013738
5.9925,1.01378
5.9925,1.01378
5.9975,1.013822
5.9975,1.013822
6.0025,1.013864
6.0025,1.013864
6.0075,1.013907
6.0075,1.013907
6.0125,1.01395
6.0125,1.01395
6.0175,1.013994
6.0225,1.014038
6.0275,1.014083
6.0275,1.014083
6.0325,1.014129
6.0325,1.014129
6.0375,1.014175
6.0375,1.014175
6.0425,1.014223
6.0475,1.014271
6.0475,1.014271
6.0525,1.014321
6.0575,1.014371
6.0575,1.014371
6.0625,1.014423
6.0625,1.014423
6.0675,1.014476
6.0675,1.014476
6.0725,1.014531
6.0725,1.014531
6.0775,1.014587
6.0825,1.014644
6.0825,1.014644
6.0875,1.014703
6.0875,1.014703
6.0925,1.014764
6.0925,1.014764
6.0975,1.014825
6.0975,1.014825
6.1025,1.014888
6.1025,1.014888
6.1075,1.014953
6.1075,1.014953
6.1125,1.015019
6.1125,1.015019
6.1175,1.015087
6.1175,1.015087
6.1225,1.015157
6.1225,1.015157
6.1275,1.015228
6.1275,1.015228
6.1325,1.0153
6.1325,1.0153
6.1375,1.015374
6.1375,1.015374
6.1425,1.015448
6.1425,1.015448
6.1475,1.015524
6.1475,1.015524
6.1525,1.015601
6.1525,1.015601
6.1575,1.015678
6.1575,1.015678
6.1625,1.015757
6.1625,1.015757
6.1675,1.015837
6.1675,1.015837
6.1725,1.015918
6.1725,1.015918
6.1775,1.016
6.1775,1.016
6.1825,1.016082
6.1825,1.016082
6.1875,1.016166
6.1875,1.016166
6.1925,1.01625
6.1925,1.01625
6.1975,1.016336
6.1975,1.016336
6.2025,1.016422
6.2025,1.016422
6.2075,1.016509
6.2125,1.016596
6.2175,1.016684
6.2175,1.016684
6.2225,1.016773
6.2225,1.016773
6.2275,1.016863
6.2275,1.016863
6.2325,1.016953
6.2375,1.017044
6.2375,1.017044
6.2425,1.017136
6.2425,1.017136
6.2475,1.017228
6.2475,1.017228
6.2525,1.017321
6.2575,1.017414
6.2575,1.017414
6.2625,1.017508
6.2625,1.017508
6.2675,1.017602
6.2725,1.017697
6.2725,1.017697
6.2775,1.017792
6.2775,1.017792
6.2825,1.017888
6.2825,1.017888
6.2875,1.017984
6.2875,1.017984
6.2925,1.01808
6.2925,1.01808
6.2975,1.018177
6.2975,1.018177
6.3025,1.018274
6.3025,1.018274
6.3075,1.018371
