x   sigma   coverage    SE
48800   0.9255558658099639      0.393343488170174       1.005670304036622
49000   0.9219096282237474      0.3917394154684732      1.0016871428960388
49200   0.9181945539462366      0.3901489266946233      0.997645941152218
49400   0.9269303656691545      0.38856496619179715     1.0050784226870981
49600   0.9232909918924063      0.38699968363997717     1.0011168817111746
49800   0.9213630977227079      0.38544276618188156     0.9987372446480229
50000   0.9177421222736744      0.3839025030427186      0.9948023596865121
50200   0.9146765280879555      0.3823735639519692      0.9913842309843178
50400   0.9113104917655718      0.3808567273049989      0.9876936058998674
50600   0.9077868838515116      0.3793523663471013      0.9838624112882772
50800   0.9047031362825086      0.37785886346391806     0.9804412708049632
51000   0.9015549497480568      0.3763770968986744      0.9769652227613301
51200   0.8983952295553808      0.37490757584635864     0.9734832709989722
51400   0.8956256194871641      0.37344853965759806     0.9703654270707294
51600   0.8925795071616541      0.37200179688901713     0.9669971631259312
51800   0.8891434584537515      0.37056753844384205     0.9632737877983738
52000   0.8863908022175709      0.3691417282029465      0.9601844977693438
52200   0.8830533338170101      0.36772868930808567     0.9565602852437365
52400   0.8799783896931593      0.36632598899653335     0.9531824046536183
52600   0.87797610231884        0.36493118643432254     0.9507979843664713
52800   0.8746670729095612      0.36355063879925437     0.9472125186057908
53000   0.872346939562533       0.36217887436809293     0.9445436570125578
53200   0.8691146313565256      0.3608188041236148      0.9410369024895807
53400   0.8750721999834581      0.35946029419583        0.9460248719178803
53600   0.8718423048560466      0.3581206312181058      0.9425281911119466
53800   0.8693596597179691      0.3567894409016641      0.9397259829779451
54000   0.8667968967139184      0.3554683025345352      0.9368535500598069
54200   0.8636267007283058      0.3541580442372301      0.9334232686776126
54400   0.8608422805426024      0.3528563931852082      0.9303531943200188
54600   0.8581688196915289      0.3515641882586025      0.9273894012531532
54800   0.8553906031779694      0.3502814155764282      0.9243322747277609
55000   0.8525665449081332      0.34900839572969045     0.9212364375047288
55200   0.8495741597077369      0.3477451312300089      0.9179885234235139
55400   0.8469399778651043      0.3464900098182925      0.9150752171324628
55600   0.8439184593034559      0.34524516516897585     0.9118073206690502
55800   0.8409460076743679      0.3440089384342203      0.9085881011471024
56000   0.8379868464933862      0.3427814871640678      0.9053845055214608
56200   0.8352818478680106      0.341561843604059       0.9024191145936582
56400   0.8323751515004366      0.3403518706120193      0.8992706982129883
56600   0.8294932521565993      0.33915033601888206     0.8961484284397604
56800   0.826684157563485       0.3379570577150214      0.8930966740649319
57000   0.8243177649743115      0.33677139819975843     0.8904576083664312
57200   0.837438810261359       0.335588852485309       0.9021771659958852
57400   0.8371488350672809      0.3344178713934756      0.9014729528731568
57600   0.8343616172543911      0.333257722710349       0.8984542381743496
57800   0.8318946677881949      0.3321048832383629      0.8957356707004571
58000   0.8357209840970828      0.33095625986324345     0.8988668473154761
58200   0.8328797149073729      0.3298203523646942      0.8958069459086359
58400   0.8439995137987861      0.3286863468689635      0.905742730531497
58600   0.8417091538746768      0.3275636860993249      0.903201122766907
