time,_BUS___13-BUS___14-1_AC_side1_Distance_distance_UMonitoredPu,_BUS___13-BUS___14-1_AC_side1_Distance_distance_PMonitoredPu,_BUS___13-BUS___14-1_AC_side1_Distance_distance_QMonitoredPu,R,X
5.030446,0.280992,0.58584,-1.515581,0.0175198767799286,-0.0453243076095878
5.030474,0.280979,0.585933,-1.515534,0.0175212589103088,-0.0453192832651105
5.03053,0.280954,0.586118,-1.515442,0.0175240839183691,-0.0453095328609959
5.030642,0.280903,0.586489,-1.515257,0.0175296449724306,-0.0452897108931119
5.030865,0.280802,0.587229,-1.514888,0.0175408017931438,-0.0452504051176153
5.031313,0.280601,0.58871,-1.514151,0.0175631397028888,-0.0451720635699559
5.032207,0.280205,0.591669,-1.512684,0.017607952321921,-0.0450171764113597
5.033996,0.279428,0.597574,-1.509777,0.0176970247317059,-0.0447117192320294
5.037574,0.277939,0.609343,-1.504073,0.0178740018565075,-0.0441193278569259
5.041152,0.276532,0.621056,-1.498521,0.0180490849554311,-0.0435499098897645
5.044086,0.275436,0.630625,-1.494084,0.0181911848538953,-0.0430987642913734
5.044086,0.275436,0.630626,-1.494083,0.0181912256450485,-0.043098763744963
5.044124,0.275422,0.630749,-1.494026,0.018193029121382,-0.0430929871091383
5.044162,0.275408,0.630873,-1.49397,0.0181948311769202,-0.0430871695783201
5.044238,0.27538,0.63112,-1.493856,0.0181984539126189,-0.0430755950819008
5.04439,0.275325,0.631614,-1.49363,0.0182057798775569,-0.0430527173218379
5.044553,0.275266,0.632145,-1.493387,0.0182136565538727,-0.0430281627158614
5.044553,0.275266,0.632145,-1.493387,0.0182136565538727,-0.0430281627158614
5.044592,0.275252,0.63227,-1.49333,0.0182154895449709,-0.0430223433061689
5.04463,0.275238,0.632394,-1.493273,0.0182173016078384,-0.0430165444704435
5.044707,0.27521,0.632644,-1.493159,0.0182209631862005,-0.0430049050811262
5.04486,0.275155,0.633142,-1.492931,0.0182283682160735,-0.0429819787491443
5.045166,0.275045,0.634138,-1.492477,0.0182430952061498,-0.0429360801654984
5.045779,0.274826,0.63613,-1.491572,0.0182724531581443,-0.0428445121311675
5.047005,0.274393,0.640109,-1.489776,0.0183307814952075,-0.042662668909208
