time	V1
2	1.0429
2.005	1.0423
2.01	1.0418
2.015	1.0412
2.02	1.0404
2.025	1.0396
2.03	1.039
2.035	1.0383
2.04	1.0379
2.045	1.0371
2.05	1.0364
2.055	1.0357
2.06	1.0353
2.065	1.0346
2.07	1.0338
2.075	1.0332
2.08	1.0328
2.085	1.0321
2.09	1.0314
2.095	1.0309
2.1	1.0305
2.105	1.0297
2.11	1.0291
2.115	1.0286
2.12	1.028
2.125	1.0274
2.13	1.0269
2.135	1.0263
2.14	1.0258
2.145	1.0253
2.15	1.0247
2.155	1.0242
2.16	1.0237
2.165	1.0232
2.17	1.0227
2.175	1.0222
2.18	1.0217
2.185	1.0212
2.19	1.0207
2.195	1.0202
2.2	1.0197
2.205	1.0193
2.21	1.0188
2.215	1.0184
2.22	1.0179
2.225	1.0175
2.23	1.017
2.235	1.0166
2.24	1.0161
2.245	1.0157
2.25	1.0153
2.255	1.0149
2.26	1.0144
2.265	1.014
2.27	1.0136
2.275	1.0132
2.28	1.0128
2.285	1.0124
2.29	1.012
2.295	1.0117
2.3	1.0113
2.305	1.0109
2.31	1.0105
2.315	1.0102
2.32	1.0098
2.325	1.0094
2.33	1.0091
2.335	1.0087
2.34	1.0084
2.345	1.008
2.35	1.0077
2.355	1.0074
2.36	1.007
2.365	1.0067
2.37	1.0064
2.375	1.006
2.38	1.0057
2.385	1.0054
2.39	1.0051
2.395	1.0048
2.4	1.0045
2.405	1.0042
2.41	1.0039
2.415	1.0036
2.42	1.0033
2.425	1.003
2.43	1.0027
2.435	1.0024
2.44	1.0022
2.445	1.0019
2.45	1.0016
2.455	1.0014
2.46	1.0011
2.465	1.0008
2.47	1.0006
2.475	1.0003
2.48	1.0001
2.485	0.9998
2.49	0.9996
2.495	0.9993
2.5	0.9991
2.505	0.9988
2.51	0.9986
2.515	0.9984
2.52	0.9981
2.525	0.9979
2.53	0.9977
2.535	0.9975
2.54	0.9972
2.545	0.997
2.55	0.9968
2.555	0.9966
2.56	0.9964
2.565	0.9962
2.57	0.996
2.575	0.9958
2.58	0.9956
2.585	0.9953
2.59	0.9951
2.595	0.995
2.6	0.9948
2.605	0.9946
2.61	0.9944
2.615	0.9942
2.62	0.994
2.625	0.9939
2.63	0.9936
2.635	0.9936
2.64	0.9931
2.645	0.9931
2.65	0.993
2.655	0.9928
2.66	0.9927
2.665	0.9924
2.67	0.9924
2.675	0.9919
2.68	0.9919
2.685	0.9919
2.69	0.9917
2.695	0.9916
2.7	0.9913
2.705	0.9913
2.71	0.9909
2.715	0.9909
2.72	0.9908
2.725	0.9907
2.73	0.9905
2.735	0.9904
2.74	0.9902
2.745	0.9901
2.75	0.99
2.755	0.9898
2.76	0.9897
2.765	0.9896
2.77	0.9895
2.775	0.9893
2.78	0.9892
2.785	0.9891
2.79	0.989
2.795	0.9888
2.8	0.9887
2.805	0.9886
2.81	0.9885
2.815	0.9884
2.82	0.9883
2.825	0.9882
2.83	0.988
2.835	0.9879
2.84	0.9878
2.845	0.9877
2.85	0.9876
2.855	0.9875
2.86	0.9874
2.865	0.9873
2.87	0.9872
2.875	0.9871
2.88	0.987
2.885	0.9869
2.89	0.9868
2.895	0.9867
2.9	0.9866
2.905	0.9866
2.91	0.9865
2.915	0.9864
2.92	0.9863
2.925	0.9862
2.93	0.9861
2.935	0.986
2.94	0.9859
2.945	0.9859
2.95	0.9858
2.955	0.9857
2.96	0.9856
2.965	0.9855
2.97	0.9855
2.975	0.9854
2.98	0.9853
2.985	0.9852
2.99	0.9852
2.995	0.9851
3	0.985
3.005	0.985
3.01	0.9849
3.015	0.9848
3.02	0.9847
3.025	0.9847
3.03	0.9846
3.035	0.9845
3.04	0.9845
3.045	0.9844
3.05	0.9844
3.055	0.9843
3.06	0.9842
3.065	0.9842
3.07	0.9841
3.075	0.9841
3.08	0.984
3.085	0.9839
3.09	0.9839
3.095	0.9838
3.1	0.9838
3.105	0.9837
3.11	0.9837
3.115	0.9836
3.12	0.9836
3.125	0.9835
3.13	0.9835
3.135	0.9834
3.14	0.9834
3.145	0.9833
3.15	0.9833
3.155	0.9832
3.16	0.9832
3.165	0.9831
3.17	0.9831
3.175	0.983
3.18	0.983
3.185	0.9829
3.19	0.9829
3.195	0.9828
3.2	0.9828
3.205	0.9828
3.21	0.9827
3.215	0.9827
3.22	0.9826
3.225	0.9826
3.23	0.9826
3.235	0.9825
3.24	0.9825
3.245	0.9824
3.25	0.9824
3.255	0.9824
3.26	0.9823
3.265	0.9823
3.27	0.9823
3.275	0.9822
3.28	0.9822
3.285	0.9822
3.29	0.9821
3.295	0.9821
3.3	0.9821
3.305	0.982
3.31	0.982
3.315	0.982
3.32	0.9819
3.325	0.9819
3.33	0.9819
3.335	0.9818
3.34	0.9818
3.345	0.9818
3.35	0.9818
3.355	0.9817
3.36	0.9817
3.365	0.9817
3.37	0.9817
3.375	0.9816
3.38	0.9816
3.385	0.9816
3.39	0.9815
3.395	0.9815
3.4	0.9815
3.405	0.9815
3.41	0.9814
3.415	0.9814
3.42	0.9814
3.425	0.9814
3.43	0.9814
3.435	0.9813
3.44	0.9813
3.445	0.9813
3.45	0.9813
3.455	0.9812
3.46	0.9812
3.465	0.9812
3.47	0.9812
3.475	0.9812
3.48	0.9811
3.485	0.9811
3.49	0.9811
3.495	0.9811
3.5	0.9811
3.505	0.981
3.51	0.981
3.515	0.981
3.52	0.981
3.525	0.981
3.53	0.981
3.535	0.9809
3.54	0.9809
3.545	0.9809
3.55	0.9809
3.555	0.9809
3.56	0.9809
3.565	0.9808
3.57	0.9808
3.575	0.9808
3.58	0.9808
3.585	0.9808
3.59	0.9808
3.595	0.9808
3.6	0.9807
3.605	0.9807
3.61	0.9807
3.615	0.9807
3.62	0.9807
3.625	0.9807
3.63	0.9807
3.635	0.9807
3.64	0.9806
3.645	0.9806
3.65	0.9806
3.655	0.9806
3.66	0.9806
3.665	0.9806
3.67	0.9806
3.675	0.9806
3.68	0.9805
3.685	0.9805
3.69	0.9805
3.695	0.9805
3.7	0.9805
3.705	0.9805
3.71	0.9805
3.715	0.9805
3.72	0.9805
3.725	0.9804
3.73	0.9804
3.735	0.9804
3.74	0.9804
3.745	0.9804
3.75	0.9804
3.755	0.9804
3.76	0.9804
3.765	0.9804
3.77	0.9804
3.775	0.9804
3.78	0.9804
3.785	0.9803
3.79	0.9803
3.795	0.9803
3.8	0.9803
3.805	0.9803
3.81	0.9803
3.815	0.9803
3.82	0.9803
3.825	0.9803
3.83	0.9803
3.835	0.9803
3.84	0.9803
3.845	0.9803
3.85	0.9802
3.855	0.9802
3.86	0.9802
3.865	0.9802
3.87	0.9802
3.875	0.9802
3.88	0.9802
3.885	0.9802
3.89	0.9802
3.895	0.9802
3.9	0.9802
3.905	0.9802
3.91	0.9802
3.915	0.9802
3.92	0.9802
3.925	0.9802
3.93	0.9802
3.935	0.9801
3.94	0.9801
3.945	0.9801
3.95	0.9801
3.955	0.9801
3.96	0.9801
3.965	0.9801
3.97	0.9801
3.975	0.9801
3.98	0.9801
3.985	0.9801
3.99	0.9801
3.995	0.9801
4	0.9801
4.005	0.9801
4.01	0.9801
4.015	0.9801
4.02	0.9801
4.025	0.9801
4.03	0.9801
4.035	0.9801
4.04	0.9801
4.045	0.9801
