time_95	V1_95	time_5	V1_5
1.43	1.002768	1.155	1.002786
1.435	1.002768	1.155	1.002786
1.435	1.002768	1.16	1.002786
1.44	1.002768	1.16	1.002786
1.44	1.002768	1.165	1.002786
1.445	1.002768	1.165	1.002786
1.445	1.002768	1.17	1.002786
1.45	1.002768	1.17	1.002786
1.45	1.002768	1.175	1.002786
1.455	1.002769	1.175	1.002786
1.455	1.002769	1.18	1.002786
1.46	1.002769	1.18	1.002786
1.46	1.002769	1.185	1.002786
1.465	1.002769	1.185	1.002786
1.465	1.002769	1.19	1.002786
1.47	1.002769	1.19	1.002786
1.47	1.002769	1.195	1.002786
1.475	1.002769	1.195	1.002786
1.475	1.002769	1.2	1.002786
1.48	1.002769	1.2	1.002786
1.48	1.002769	1.205	1.002786
1.485	1.002769	1.205	1.002786
1.485	1.002769	1.21	1.002786
1.49	1.002769	1.21	1.002786
1.49	1.002769	1.215	1.002786
1.495	1.002769	1.215	1.002786
1.495	1.002769	1.22	1.002786
1.5	1.00277	1.22	1.002786
1.5	1.00277	1.225	1.002786
1.505	1.00277	1.225	1.002786
1.505	1.00277	1.23	1.002786
1.51	1.00277	1.23	1.002786
1.51	1.00277	1.235	1.002786
1.515	1.00277	1.235	1.002786
1.515	1.00277	1.24	1.002786
1.52	1.00277	1.24	1.002786
1.52	1.00277	1.245	1.002786
1.525	1.00277	1.245	1.002786
1.525	1.00277	1.25	1.002786
1.53	1.00277	1.25	1.002786
1.53	1.00277	1.255	1.002786
1.535	1.00277	1.255	1.002786
1.535	1.00277	1.26	1.002786
1.54	1.00277	1.26	1.002786
1.54	1.00277	1.265	1.002786
1.545	1.00277	1.265	1.002786
1.545	1.00277	1.27	1.002786
1.55	1.002771	1.27	1.002786
1.55	1.002771	1.275	1.002786
1.555	1.002771	1.275	1.002786
1.555	1.002771	1.28	1.002786
1.56	1.002771	1.28	1.002786
1.56	1.002771	1.285	1.002786
1.565	1.002771	1.285	1.002786
1.565	1.002771	1.29	1.002786
1.57	1.002771	1.29	1.002786
1.57	1.002771	1.295	1.002786
1.575	1.002771	1.295	1.002786
1.575	1.002771	1.3	1.002786
1.58	1.002771	1.3	1.002786
1.58	1.002771	1.305	1.002786
1.585	1.002771	1.305	1.002786
1.585	1.002771	1.31	1.002786
1.59	1.002771	1.31	1.002786
1.59	1.002771	1.315	1.002786
1.595	1.002771	1.315	1.002786
1.595	1.002771	1.32	1.002786
1.6	1.002772	1.32	1.002786
1.6	1.002772	1.325	1.002786
1.605	1.002772	1.325	1.002786
1.605	1.002772	1.33	1.002786
1.61	1.002772	1.33	1.002786
1.61	1.002772	1.335	1.002786
1.615	1.002772	1.335	1.002786
1.615	1.002772	1.34	1.002786
