time,_BUS___13-BUS___14-1_AC_side1_Distance_distance_UMonitoredPu,_BUS___13-BUS___14-1_AC_side1_Distance_distance_PMonitoredPu,_BUS___13-BUS___14-1_AC_side1_Distance_distance_QMonitoredPu,R,X
7.915054,1.009446,11.166009,0.611248,0.0909847734622103,0.00498067490445593
7.930623,1.014465,10.967741,0.675597,0.0934785977965542,0.00575814657143696
7.946192,1.019297,10.758148,0.738112,0.09612236125913,0.00659491469290987
7.961761,1.023886,10.539356,0.797972,0.0989023550273993,0.00748824786314495
7.977331,1.028182,10.313917,0.854379,0.101799674425091,0.00843282954823416
7.9929,1.032141,10.084626,0.90661,0.104790613423168,0.00942069820294557
8.008469,1.035732,9.854512,0.954029,0.107847037908678,0.0104408215981652
8.024038,1.038931,9.626746,0.996109,0.110935044580004,0.0114787900627629
8.039607,1.041724,9.40455,1.032438,0.114015679085751,0.0125167200646426
8.053619,1.043896,9.212168,1.059975,0.116745609880574,0.0134330407167087
8.067631,1.045729,9.028795,1.082517,0.119401544847335,0.0143157754853779
8.081644,1.047236,8.856863,1.09998,0.121944321740117,0.0151449011944403
8.095656,1.048428,8.698323,1.112386,0.124335868884083,0.0159007063596614
8.109668,1.049319,8.554912,1.119823,0.12653806963561,0.0165636117301449
8.12368,1.049923,8.42813,1.122436,0.128513410381869,0.0171150751466083
8.137693,1.050252,8.319177,1.120425,0.13022661370573,0.0175388928088971
8.151705,1.050339,8.229175,1.114015,0.131648471241613,0.0178217587656387
8.165717,1.050184,8.158634,1.103543,0.132751528771378,0.0179560720967447
8.179729,1.049809,8.108065,1.089072,0.133517370701401,0.0179339990422519
8.193741,1.049233,8.077437,1.071195,0.133936450444853,0.0177620767620069
8.206352,1.048548,8.067017,1.052275,0.134009717510528,0.0174804485342464
8.218963,1.047717,8.072607,1.030944,0.13379754840907,0.0170871417061477
8.231574,1.046747,8.093576,1.007407,0.133311055047886,0.016593220355579
8.244185,1.045645,8.129472,0.981948,0.132560964760569,0.0160118608225369
8.256796,1.044414,8.179691,0.954682,0.131562587393341,0.0153551563326597
8.269407,1.043061,8.243402,0.925789,0.130337542522371,0.014637774932515
8.282018,1.041587,8.319715,0.895496,0.128908070205217,0.0138750739943004
8.294629,1.039998,8.407713,0.863981,0.127299044460325,0.0130813166115299
8.30724,1.038296,8.506346,0.831392,0.125536590260419,0.0122696768800364
8.319851,1.036484,8.614498,0.797883,0.12364753523782,0.0114523523434746
8.332462,1.034565,8.731088,0.763615,0.121657212962919,0.0106400568493502
8.357684,1.03043,8.984061,0.693526,0.117485420650375,0.00906930550026005
8.382906,1.025929,9.256598,0.62219,0.113194545272594,0.00760846632025665
8.408128,1.021112,9.539787,0.55068,0.108933978227853,0.00628816588153532
8.43335,1.016049,9.825018,0.480164,0.104823801516146,0.00512290316732233
8.458572,1.010836,10.104538,0.411874,0.100954100961053,0.00411501934865627
8.483794,1.005591,10.371279,0.347149,0.0973921904182276,0.00325992594659707
8.506494,1.000945,10.596335,0.292943,0.0944784917066876,0.00261192315985029
8.529194,0.996481,10.803466,0.24364,0.0918658530124289,0.00207176071345512
8.551894,0.992312,10.990058,0.200234,0.0895678936357164,0.00163188743992562
8.574593,0.988553,11.154256,0.163667,0.0875922770123123,0.00128524620573296
8.597293,0.985313,11.294793,0.134798,0.0859425620153321,0.00102568373537636
8.619993,0.982697,11.410871,0.11437,0.0846207438023335,0.000848145112557392
8.642693,0.980792,11.50203,0.102967,0.0836266174688117,0.000748631495563056
8.650671,0.980309,11.528092,0.101199,0.0833556571741572,0.000731735065123313
8.650671,0.980309,11.528068,0.101215,0.0833558286523096,0.00073185378478367
8.651053,0.980288,11.529241,0.101158,0.083343785595943,0.00073126155167668
8.651435,0.980267,11.530406,0.101104,0.0833318024861848,0.000730692272116283
8.652199,0.980226,11.53272,0.101002,0.0833081285147558,0.000729601307952275
